,Open,Close,High,Low,Volume,Time,IsGrowing,AvgOpenClose,DiffOpenClose,DiffHighLow
0,153.02,153.12,153.19,152.8,284603,2023-01-24 15:00,True,0.09999999999999432,0.09999999999999432,0.38999999999998636
1,152.92,153.13,153.68,152.9,197274,2023-01-24 16:00,True,0.21000000000000796,0.21000000000000796,0.7800000000000011
2,153.13,153.09,153.31,152.9,127448,2023-01-24 17:00,False,0.03999999999999204,0.03999999999999204,0.4099999999999966
3,153.1,152.52,153.1,152.41,221870,2023-01-24 18:00,False,0.5799999999999841,0.5799999999999841,0.6899999999999977
4,152.5,152.62,152.88,152.46,129653,2023-01-24 19:00,True,0.12000000000000455,0.12000000000000455,0.4199999999999875
5,152.62,152.66,152.76,152.6,85367,2023-01-24 20:00,True,0.03999999999999204,0.03999999999999204,0.1599999999999966
6,152.45,152.45,152.45,152.45,5890,2023-01-25 06:00,False,0.0,0.0,0.0
7,152.45,153.3,153.6,151.7,1232799,2023-01-25 07:00,True,0.8500000000000227,0.8500000000000227,1.9000000000000057
8,153.27,152.96,153.5,152.52,352807,2023-01-25 08:00,False,0.3100000000000023,0.3100000000000023,0.9799999999999898
9,152.94,152.75,153.31,152.66,220679,2023-01-25 09:00,False,0.18999999999999773,0.18999999999999773,0.6500000000000057
10,152.74,151.86,152.77,151.5,967755,2023-01-25 10:00,False,0.8799999999999955,0.8799999999999955,1.2700000000000102
11,151.85,152.04,152.45,151.85,285059,2023-01-25 11:00,True,0.18999999999999773,0.18999999999999773,0.5999999999999943
12,152.05,152.64,152.84,151.82,364891,2023-01-25 12:00,True,0.589999999999975,0.589999999999975,1.0200000000000102
13,152.65,152.4,152.82,152.28,219096,2023-01-25 13:00,False,0.25,0.25,0.539999999999992
14,152.4,152.46,152.58,152.08,158304,2023-01-25 14:00,True,0.060000000000002274,0.060000000000002274,0.5
15,152.46,152.48,152.67,152.21,104384,2023-01-25 15:00,True,0.01999999999998181,0.01999999999998181,0.45999999999997954
16,152.46,152.33,152.46,152.23,51929,2023-01-25 16:00,False,0.12999999999999545,0.12999999999999545,0.2300000000000182
17,152.32,152.23,152.46,152.12,67193,2023-01-25 17:00,False,0.09000000000000341,0.09000000000000341,0.3400000000000034
18,152.26,152.44,152.46,152.23,66618,2023-01-25 18:00,True,0.18000000000000682,0.18000000000000682,0.2300000000000182
19,152.44,152.64,152.78,152.4,117367,2023-01-25 19:00,True,0.19999999999998863,0.19999999999998863,0.37999999999999545
20,152.62,152.81,152.83,152.36,122899,2023-01-25 20:00,True,0.18999999999999773,0.18999999999999773,0.46999999999999886
21,153.32,153.32,153.32,153.32,13798,2023-01-26 06:00,False,0.0,0.0,0.0
22,153.32,153.8,154.13,152.55,1334352,2023-01-26 07:00,True,0.4800000000000182,0.4800000000000182,1.579999999999984
23,153.8,153.85,154.3,153.54,639823,2023-01-26 08:00,True,0.04999999999998295,0.04999999999998295,0.7600000000000193
24,153.85,153.13,153.86,153.11,405102,2023-01-26 09:00,False,0.7199999999999989,0.7199999999999989,0.75
25,153.13,153.11,153.29,152.7,400750,2023-01-26 10:00,False,0.01999999999998181,0.01999999999998181,0.5900000000000034
26,153.12,153.05,153.17,152.76,144419,2023-01-26 11:00,False,0.06999999999999318,0.06999999999999318,0.4099999999999966
27,153.05,153.14,153.33,153.0,117983,2023-01-26 12:00,True,0.08999999999997499,0.08999999999997499,0.3300000000000125
28,153.13,152.93,153.14,152.8,158110,2023-01-26 13:00,False,0.19999999999998863,0.19999999999998863,0.339999999999975
